cartodb_id,the_geom,lon,lat,nazev_casti_obce,nazev_obce
1,0101000020E61000002B476D872B082D40858ABB8B41124940,14.5159571,50.1426253,Hradèany Pražské,50.1047577509
2,0101000020E610000055DB4DF04DE72C4070E591E45E034940,14.4517665,50.0263334,Hradèany,50.0666207
3,0101000020E610000070A076AEDEE72C409E1DBAEA4B0A4940,14.4528708,50.0804418,Hradèany,50.0616182408
4,0101000020E610000083EF479BF4FC2C409DB23FF5B4034940,14.4940537,50.0289599,14.4027662,50.0715393
5,0101000020E61000004858AF7D5CEA2C4033ABD27190FB4840,14.4577369,49.9653456,14.2675045863,50.1079513793
6,0101000020E610000042D7193AD18D2C405B93139271114940,14.2769869,50.1362784,14.4576225802,50.0785409052
7,0101000020E61000009B47B4D3C5D82C4072D24554F20A4940,14.4233843,50.0855203,14.4239857,50.0407621
8,0101000020E61000002FE708CF3ABD2C408E3ADFF4D3084940,14.3695893,50.0689684,14.4261820614,50.0914730176
9,0101000020E610000070992E1FA4EA2C402C1D627259094940,14.4582834,50.0730422,14.4206008,50.066499
10,0101000020E610000049303086CDBF2C4039155FA39B074940,14.3746149,50.0594372,14.4399148,50.0740202